15.3,38668
15.4,42885
15.5,46842
15.6,51544
15.7,57190
15.8,61598
15.9,68347
16.0,74283
16.1,82666
16.2,88716
16.3,98886
16.4,107626
16.5,117406
16.6,129602
16.7,140345
16.8,152616
16.9,167325
17.0,187779
17.1,209760
17.2,227324
17.3,241395
17.4,267334
17.5,291443
17.6,328155
17.7,351760
17.8,395929
17.9,425947
18.0,466410
18.1,514534
18.2,562041
18.3,614028
18.4,677403
18.5,750702
18.6,812475
18.7,910810
18.8,996226
18.9,1077771
19.0,1172970
19.1,1278241
19.2,1393109
19.3,1522797
19.4,1694449
19.5,1867045
19.6,2030575
19.7,2217039
19.8,2438155
19.9,2658384
20.0,2904356
20.1,3192452
20.2,3520283
20.3,3843396
20.4,4209612
20.5,4598292
20.6,5018094
20.7,5504606
20.8,5998192
20.9,6552125
21.0,7169149
21.1,7814395
21.2,8492002
21.3,9297288
21.4,10184156
21.5,11025321
21.6,11966315
21.7,13050689
21.8,14298533
21.9,15473860
22.0,16745327
22.1,18091752
22.2,19605130
22.3,21154022
22.4,22916711
22.5,24623358
22.6,26673860
22.7,28663859
22.8,30745223
22.9,32976314
23.0,35306132
23.1,37642745
23.2,40256094
23.3,42845349
23.4,45293898
23.5,48102032
23.6,50997594
23.7,53715024
23.8,56328901
23.9,59190362
