15.3,38334
15.4,42388
15.5,46467
15.6,51134
15.7,56820
15.8,61186
15.9,67886
16.0,73675
16.1,81998
16.2,88130
16.3,98196
16.4,106762
16.5,116624
16.6,128651
16.7,139430
16.8,151920
16.9,166239
17.0,186048
17.1,208196
17.2,225210
17.3,240116
17.4,264979
17.5,289212
17.6,326167
17.7,349339
17.8,391796
17.9,422270
18.0,462021
18.1,509640
18.2,558044
18.3,608526
18.4,671122
18.5,744024
18.6,806163
18.7,900290
18.8,984664
18.9,1066361
19.0,1160987
19.1,1261566
19.2,1377423
19.3,1505344
19.4,1675450
19.5,1844536
19.6,2002750
19.7,2188159
19.8,2404867
19.9,2620284
20.0,2860373
20.1,3143326
20.2,3466215
20.3,3781476
20.4,4142383
20.5,4524043
20.6,4936898
20.7,5414062
20.8,5895877
20.9,6424737
21.0,7028761
21.1,7657962
21.2,8326280
21.3,9107602
21.4,9962447
21.5,10800334
21.6,11703911
21.7,12773304
21.8,13980971
21.9,15107754
22.0,16328648
22.1,17662629
22.2,19078092
22.3,20555192
22.4,22282767
22.5,24001413
22.6,25852154
22.7,27679309
22.8,29750371
22.9,31845603
23.0,34062398
23.1,36221536
23.2,38743999
23.3,41094301
23.4,43556488
23.5,46042476
23.6,48799422
23.7,51465246
23.8,53825528
23.9,56654867
