15.3,38493
15.4,42677
15.5,46633
15.6,51481
15.7,57068
15.8,61448
15.9,68217
16.0,74027
16.1,82372
16.2,88411
16.3,98522
16.4,107373
16.5,117084
16.6,129407
16.7,140118
16.8,152298
16.9,167070
17.0,186872
17.1,209061
17.2,226736
17.3,240700
17.4,266435
17.5,290767
17.6,326988
17.7,350415
17.8,393845
17.9,424518
18.0,463850
18.1,511814
18.2,559711
18.3,611320
18.4,674027
18.5,747567
18.6,809679
18.7,904950
18.8,988830
18.9,1069017
19.0,1165628
19.1,1266885
19.2,1382533
19.3,1511215
19.4,1682233
19.5,1853458
19.6,2010925
19.7,2202905
19.8,2415904
19.9,2627236
20.0,2875953
20.1,3158516
20.2,3486397
20.3,3798215
20.4,4160035
20.5,4538962
20.6,4954063
20.7,5432357
20.8,5914683
20.9,6452261
21.0,7063907
21.1,7690668
21.2,8365415
21.3,9154702
21.4,10015032
21.5,10841255
21.6,11762922
21.7,12818983
21.8,14030882
21.9,15166690
22.0,16403521
22.1,17694698
22.2,19158246
22.3,20651754
22.4,22322553
22.5,24064663
22.6,25961320
22.7,27844149
22.8,29876976
22.9,31967308
23.0,34218667
23.1,36463412
23.2,38798403
23.3,41269246
23.4,43652974
23.5,46211156
23.6,48803847
23.7,51591235
23.8,53884155
23.9,56629217
